Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,gmc commercial truck parts,None,GM makes,GMC keywords,2,5,40.00%,0.30,0.60,6.6,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,original gm parts,None,GM makes,GM keywords,1,1,100.00%,0.29,0.29,3.0,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,solenid to tcm chevrolet vectra 2003,None,GM makes,Chevy keywords,2,1,200.00%,0.17,0.34,4.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,2009 chevrolet silverado factory radio parts,None,GM makes,GM keywords,1,1,100.00%,0.30,0.30,4.0,0,0.00,0.00%,0,0.0,0,0,gm auto parts
broad,2006 chevy tahoe blower motor resistor,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,1.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,gms parts,None,GM makes,GMC keywords,1,4,25.00%,0.28,0.28,3.0,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,2005 chevy avalanche factory running boards,None,GM makes,Chevy keywords,1,1,100.00%,0.07,0.07,4.0,0,0.00,0.00%,0,0.0,0,0,chevy avalanche parts
broad,chevy 1500 seats,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,6.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,module gm 92195170 bosch,None,GM makes,GM keywords,1,1,100.00%,0.17,0.17,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm 12388037 samora em movimento,None,GM makes,GM keywords,1,1,100.00%,0.25,0.25,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,transmission 03 saturn vue 4 cyl 2.2,None,Saturn,previous keywords,1,1,100.00%,0.29,0.29,1.0,0,0.00,0.00%,0,0.0,0,0,saturn vue parts
phrase,2014 gmc parts,None,GM makes,GMC keywords,0,2,0.00%,0.00,0.00,2.0,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,chevrolet motor division,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,5.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,2004 chevy s10 blazer replacement dashboard,None,GM makes,Chevy keywords,1,1,100.00%,0.19,0.19,4.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,2008 saturn aura windshield wiper linkage bushing,None,Saturn,previous keywords,1,3,33.33%,0.19,0.19,3.7,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,chevelle parts,None,GM makes,Chevy keywords,0,3,0.00%,0.00,0.00,6.0,0,0.00,0.00%,0,0.0,0,0,chevy auto parts
broad,where does the part number located for the intermediate steering shart for pontiac g6s,None,GM makes,Pontiac keywords,1,1,100.00%,0.24,0.24,3.0,0,0.00,0.00%,0,0.0,0,0,pontiac part numbers
broad,laser saturn cd 100l jukebox parts,None,Saturn,previous keywords,1,2,50.00%,0.29,0.29,1.0,0,0.00,0.00%,0,0.0,0,0,+Saturn +parts
broad,a passenger seat for a 2004 saturn vur,None,Saturn,previous keywords,1,3,33.33%,0.22,0.22,2.0,0,0.00,0.00%,0,0.0,0,0,saturn vue parts
broad,gm wiring harnesses,None,GM makes,GM keywords,0,1,0.00%,0.00,0.00,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2000 gmc sierra 1500 parts,None,GM makes,GMC keywords,0,16,0.00%,0.00,0.00,4.1,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,gm 20816953,None,GM makes,GM keywords,1,1,100.00%,0.16,0.16,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
exact,chevy parts store,Added,GM makes,Chevy keywords,3,15,20.00%,0.23,0.69,4.5,0,0.00,0.00%,0,0.0,0,0,chevy parts store
phrase,56 chevy parts,None,GM makes,Chevy keywords,1,1,100.00%,0.19,0.19,6.0,0,0.00,0.00%,0,0.0,0,0,"""chevy parts"""
